+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+--------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Blocked time |
| mir_pass_simplify_const_condition_final ...............................  | 18.30ms   | 0.002           | 18.30ms  | 20232      | 0          | 0.00ns       |
| debugger_visualizers ..................................................  | 18.20ms   | 0.002           | 18.20ms  | 1          | 1          | 0.00ns       |
| resolve_check_unused ..................................................  | 17.95ms   | 0.002           | 17.95ms  | 1          | 0          | 0.00ns       |
| named_variable_map ....................................................  | 17.09ms   | 0.002           | 101.09ms | 7621       | 31862      | 0.00ns       |
| mir_callgraph_cyclic ..................................................  | 16.96ms   | 0.002           | 24.49ms  | 202        | 298        | 0.00ns       |
| cross_crate_inlinable .................................................  | 16.57ms   | 0.001           | 13.07s   | 22351      | 585248     | 0.00ns       |
| associated_types_for_impl_traits_in_trait_or_impl .....................  | 16.10ms   | 0.001           | 16.28ms  | 4123       | 6319       | 85.06µs      |
| mir_pass_mentioned_items ..............................................  | 15.60ms   | 0.001           | 15.60ms  | 32206      | 0          | 0.00ns       |
| is_late_bound_map .....................................................  | 15.58ms   | 0.001           | 15.61ms  | 6813       | 57527      | 0.00ns       |
| def_ident_span ........................................................  | 14.91ms   | 0.001           | 14.97ms  | 9442       | 273212     | 203.41µs     |
| impl_trait_header .....................................................  | 14.70ms   | 0.001           | 42.68ms  | 23156      | 12063760   | 52.29µs      |
| defaultness ...........................................................  | 14.44ms   | 0.001           | 14.81ms  | 8905       | 3206672    | 39.17µs      |
| enforce_impl_non_lifetime_params_are_constrained ......................  | 13.58ms   | 0.001           | 13.58ms  | 4014       | 5700       | 0.00ns       |
| adt_dtorck_constraint .................................................  | 12.61ms   | 0.001           | 30.10ms  | 1222       | 526087     | 1.03ms       |
| collect_and_partition_mono_items ......................................  | 12.54ms   | 0.001           | 24.56s   | 1          | 1276       | 0.00ns       |
| metadata_register_crate ...............................................  | 12.27ms   | 0.001           | 32.21ms  | 140        | 0          | 0.00ns       |
| entry_fn ..............................................................  | 12.27ms   | 0.001           | 19.22ms  | 1          | 874034     | 0.00ns       |
| intrinsic_raw .........................................................  | 11.16ms   | 0.001           | 11.36ms  | 9767       | 1625208    | 183.67µs     |
| type_of_opaque ........................................................  | 10.75ms   | 0.001           | 21.78s   | 3322       | 10454      | 0.00ns       |
| diagnostic_items ......................................................  | 9.92ms    | 0.001           | 9.98ms   | 132        | 1155431    | 6.98ms       |
| representability ......................................................  | 9.37ms    | 0.001           | 22.15ms  | 3604       | 1706       | 0.00ns       |
| is_mir_available ......................................................  | 9.24ms    | 0.001           | 11.14ms  | 20027      | 516574     | 0.00ns       |
| mir_pass_remove_place_mention .........................................  | 9.20ms    | 0.001           | 9.20ms   | 23036      | 0          | 0.00ns       |
| type_of_opaque_hir_typeck .............................................  | 9.14ms    | 0.001           | 9.14ms   | 3305       | 3305       | 0.00ns       |
| associated_item_def_ids ...............................................  | 8.79ms    | 0.001           | 25.21ms  | 4905       | 26117      | 87.06µs      |
| impl_self_is_guaranteed_unsized .......................................  | 8.62ms    | 0.001           | 22.04ms  | 2713       | 0          | 0.00ns       |
| proc_macro_decls_static ...............................................  | 8.56ms    | 0.001           | 8.56ms   | 1          | 19331      | 0.00ns       |
| erase_regions_ty ......................................................  | 8.43ms    | 0.001           | 9.93ms   | 10925      | 305212     | 0.00ns       |
| link_binary ...........................................................  | 8.25ms    | 0.001           | 264.02ms | 1          | 0          | 0.00ns       |
| late_bound_vars_map ...................................................  | 8.09ms    | 0.001           | 295.17ms | 8124       | 38796      | 0.00ns       |
| opaque_captured_lifetimes .............................................  | 8.08ms    | 0.001           | 15.30ms  | 3305       | 23108      | 0.00ns       |
| metadata_decode_entry_attrs_for_def ...................................  | 7.32ms    | 0.001           | 7.32ms   | 1189       | 0          | 0.00ns       |
| finalize_macro_resolutions ............................................  | 7.30ms    | 0.001           | 7.34ms   | 1          | 0          | 0.00ns       |
| valtree_to_const_val ..................................................  | 7.04ms    | 0.001           | 7.04ms   | 239        | 4429       | 0.00ns       |
| adt_drop_tys ..........................................................  | 7.03ms    | 0.001           | 11.68ms  | 1133       | 98199      | 31.55µs      |
